Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mutliple_PlansExecution,Chrome 70.0.3538.110,,2018-12-03 18:04:04,2018-12-03 18:04:45,41.321s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-03 18:04:05,2018-12-03 18:04:24,19.482s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-03 18:04:06,2018-12-03 18:04:11,5.389s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-03 18:04:11,2018-12-03 18:04:16,5.163s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-03 18:04:16,2018-12-03 18:04:17,1.162s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:04:17,2018-12-03 18:04:20,3.049s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-03 18:04:20,2018-12-03 18:04:21,0.329s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:04:21,2018-12-03 18:04:24,3.004s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-03 18:04:24,2018-12-03 18:04:24,0.378s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-03 18:04:24,2018-12-03 18:04:24,0.261s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plans,Chrome 70.0.3538.110,,2018-12-03 18:04:24,2018-12-03 18:04:45,20.206s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-03 18:04:25,2018-12-03 18:04:28,3.010s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-03 18:04:28,2018-12-03 18:04:28,0.587s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-03 18:04:28,2018-12-03 18:04:29,1.003s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-03 18:04:29,2018-12-03 18:04:30,0.369s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-03 18:04:30,2018-12-03 18:04:30,0.517s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,"Record not found Global Keyword
 ",2018-12-03 18:04:30,2018-12-03 18:04:42,12.011s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,Creating new object ,2018-12-03 18:04:42,2018-12-03 18:04:42,0.008s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,"Providing the value for Plansearch
",2018-12-03 18:04:42,2018-12-03 18:04:42,0.001s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,"Specifing the Xpath
",2018-12-03 18:04:42,2018-12-03 18:04:42,0.001s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,Calling the object of myobj,2018-12-03 18:04:42,2018-12-03 18:04:42,0.006s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-03 18:04:42,2018-12-03 18:04:44,2.001s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-03 18:04:44,2018-12-03 18:04:45,0.175s,PASSED
