Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Quarterly EMEA leverage plan-2,Chrome 71.0.3578.98,,2019-02-08 15:47:33,2019-02-08 15:50:00,2m - 26.896s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Login,Chrome 71.0.3578.98,,2019-02-08 15:47:33,2019-02-08 15:48:00,26.664s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,Opening the Browser,2019-02-08 15:47:34,2019-02-08 15:47:40,5.691s,PASSED
"navigateToUrl(""https://lnvo-muat.callidusondemand.com/SalesPortal/#!/"")",Chrome 71.0.3578.98,"Navigating to Specified Url
",2019-02-08 15:47:40,2019-02-08 15:47:44,4.170s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,Maximizing the Browser window,2019-02-08 15:47:44,2019-02-08 15:47:45,1.266s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-08 15:47:45,2019-02-08 15:47:50,5.045s,PASSED
"setText(findTestObject(""Dashboard_login/input_username""), ""sapattna"")",Chrome 71.0.3578.98,Providing the Input value in the Username Text Box,2019-02-08 15:47:50,2019-02-08 15:47:51,0.336s,PASSED
delay(5),Chrome 71.0.3578.98,,2019-02-08 15:47:51,2019-02-08 15:47:56,5.011s,PASSED
"setText(findTestObject(""Dashboard_login/input_password""), ""Callidus123"")",Chrome 71.0.3578.98,Providing the Password of the User,2019-02-08 15:47:56,2019-02-08 15:47:56,0.279s,PASSED
"click(findTestObject(""Dashboard_login/button_Login""))",Chrome 71.0.3578.98,Click the login button,2019-02-08 15:47:56,2019-02-08 15:47:56,0.165s,PASSED
"waitForElementVisible(findTestObject(""Dashboard_Plan/a_Dashboards""), 10)",Chrome 71.0.3578.98,,2019-02-08 15:47:56,2019-02-08 15:48:00,3.923s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_1Plans,Chrome 71.0.3578.98,,2019-02-08 15:48:00,2019-02-08 15:48:18,18.106s,PASSED
"waitForElementClickable(findTestObject(""Dashboard_Plan/a_Dashboards""), 5)",Chrome 71.0.3578.98,,2019-02-08 15:48:00,2019-02-08 15:48:00,0.106s,PASSED
"click(findTestObject(""Dashboard_Plan/a_Dashboards""))",Chrome 71.0.3578.98,"Click the Dashbord option on the screen
",2019-02-08 15:48:00,2019-02-08 15:48:01,0.138s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/add_dashboard""), 5)",Chrome 71.0.3578.98,,2019-02-08 15:48:01,2019-02-08 15:48:03,2.228s,PASSED
"waitForElementPresent(findTestObject(""Dashboard_Plan/Showmore_button""), 5)",Chrome 71.0.3578.98,,2019-02-08 15:48:03,2019-02-08 15:48:03,0.052s,PASSED
"click(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""))",Chrome 71.0.3578.98,Click on the Text box,2019-02-08 15:48:03,2019-02-08 15:48:03,0.179s,PASSED
waitForPageLoad(5),Chrome 71.0.3578.98,,2019-02-08 15:48:03,2019-02-08 15:48:03,0.146s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-08 15:48:03,2019-02-08 15:48:06,3.007s,PASSED
"setText(findTestObject(""Dashboard_Plan/input_Search_form-control ng-p""), Plans)",Chrome 71.0.3578.98,Providing the Plan Name in the Text Box,2019-02-08 15:48:06,2019-02-08 15:48:07,0.965s,PASSED
globalkeywords.record.RecordNotFound(),Chrome 71.0.3578.98,,2019-02-08 15:48:07,2019-02-08 15:48:18,10.649s,PASSED
myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:18,0.023s,PASSED
plansearch = Plans,Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:18,0.004s,PASSED
"xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:18,0.002s,PASSED
"myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:18,0.012s,PASSED
waitForPageLoad(10),Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:18,0.012s,PASSED
click(myobj),Chrome 71.0.3578.98,Click the Plan,2019-02-08 15:48:18,2019-02-08 15:48:18,0.173s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:25,7.483s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-02-08 15:48:18,2019-02-08 15:48:21,3.003s,PASSED
myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 71.0.3578.98,,2019-02-08 15:48:21,2019-02-08 15:48:21,0.007s,NOT_RUN
