Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Gauranteeplan1,Chrome 70.0.3538.110,,2018-12-04 17:02:30,2018-12-04 17:04:41,2m - 10.828s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-04 17:02:31,2018-12-04 17:02:56,25.270s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-04 17:02:31,2018-12-04 17:02:39,7.600s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-04 17:02:39,2018-12-04 17:02:48,8.879s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-04 17:02:48,2018-12-04 17:02:49,1.149s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:02:49,2018-12-04 17:02:52,3.056s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-04 17:02:52,2018-12-04 17:02:52,0.390s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:02:52,2018-12-04 17:02:55,3.005s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-04 17:02:55,2018-12-04 17:02:56,0.310s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-04 17:02:56,2018-12-04 17:02:56,0.170s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plan,Chrome 70.0.3538.110,,2018-12-04 17:02:56,2018-12-04 17:03:18,21.804s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-04 17:02:56,2018-12-04 17:02:59,3.010s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-04 17:02:59,2018-12-04 17:03:02,2.254s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:03:02,2018-12-04 17:03:03,1.005s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-04 17:03:03,2018-12-04 17:03:03,0.425s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-04 17:03:03,2018-12-04 17:03:04,0.530s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,,2018-12-04 17:03:04,2018-12-04 17:03:16,11.925s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,,2018-12-04 17:03:16,2018-12-04 17:03:16,0.005s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,,2018-12-04 17:03:16,2018-12-04 17:03:16,0.001s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,,2018-12-04 17:03:16,2018-12-04 17:03:16,0.001s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-04 17:03:16,2018-12-04 17:03:16,0.007s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-04 17:03:16,2018-12-04 17:03:18,2.002s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-04 17:03:18,2018-12-04 17:03:18,0.180s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 70.0.3538.110,,2018-12-04 17:03:18,2018-12-04 17:03:29,11.161s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:03:18,2018-12-04 17:03:21,3.003s,PASSED
Statement - myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 70.0.3538.110,,2018-12-04 17:03:21,2018-12-04 17:03:21,0.002s,PASSED
Statement - plansearch1 = Plans,Chrome 70.0.3538.110,,2018-12-04 17:03:21,2018-12-04 17:03:21,0.002s,PASSED
"Statement - xpath = ""(//*[normalize-space(text()) and normalize-space(.)="""" + plansearch1 + """"])[2]/following::i[1]""",Chrome 70.0.3538.110,,2018-12-04 17:03:21,2018-12-04 17:03:21,0.003s,PASSED
"Statement - myobj1.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-04 17:03:21,2018-12-04 17:03:21,0.002s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-04 17:03:21,2018-12-04 17:03:23,2.003s,PASSED
click,Chrome 70.0.3538.110,Click the Plan Rep,2018-12-04 17:03:23,2018-12-04 17:03:23,0.248s,PASSED
switchToWindowIndex,Chrome 70.0.3538.110,Switch to other window index,2018-12-04 17:03:23,2018-12-04 17:03:23,0.045s,PASSED
waitForElementVisible,Chrome 70.0.3538.110,Waiting for the object to visible,2018-12-04 17:03:23,2018-12-04 17:03:29,5.356s,PASSED
click,Chrome 70.0.3538.110,Click on the text box,2018-12-04 17:03:29,2018-12-04 17:03:29,0.156s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 70.0.3538.110,,2018-12-04 17:03:29,2018-12-04 17:04:14,45.559s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:03:29,2018-12-04 17:03:39,10.003s,PASSED
click,Chrome 70.0.3538.110,"Click on the Date Option
",2018-12-04 17:03:39,2018-12-04 17:03:40,0.348s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:03:40,2018-12-04 17:03:50,10.004s,PASSED
click,Chrome 70.0.3538.110,Click on Date Text box,2018-12-04 17:03:50,2018-12-04 17:03:50,0.151s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:03:50,2018-12-04 17:04:00,10.003s,PASSED
setText,Chrome 70.0.3538.110,"Provide the Date in the Text Box
",2018-12-04 17:04:00,2018-12-04 17:04:00,0.385s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,,2018-12-04 17:04:00,2018-12-04 17:04:12,12.266s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.110,,2018-12-04 17:04:12,2018-12-04 17:04:12,0.006s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.110,Select and click date,2018-12-04 17:04:12,2018-12-04 17:04:12,0.023s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-04 17:04:12,2018-12-04 17:04:14,2.001s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.110,Select and click date,2018-12-04 17:04:14,2018-12-04 17:04:14,0.004s,PASSED
click,Chrome 70.0.3538.110,,2018-12-04 17:04:14,2018-12-04 17:04:14,0.005s,NOT_RUN
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Participant,Chrome 70.0.3538.110,,2018-12-04 17:04:14,2018-12-04 17:04:32,17.761s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-04 17:04:15,2018-12-04 17:04:15,0.113s,PASSED
setText,Chrome 70.0.3538.110,Providing participant name,2018-12-04 17:04:15,2018-12-04 17:04:15,0.214s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-04 17:04:15,2018-12-04 17:04:30,15.002s,PASSED
Statement - robot = new java.awt.Robot(),Chrome 70.0.3538.110,,2018-12-04 17:04:30,2018-12-04 17:04:30,0.002s,PASSED
Statement - robot.keyPress(VK_ENTER),Chrome 70.0.3538.110,Select and click Participant,2018-12-04 17:04:30,2018-12-04 17:04:30,0.003s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-04 17:04:30,2018-12-04 17:04:32,2.002s,PASSED
Statement - robot.keyRelease(VK_ENTER),Chrome 70.0.3538.110,Select and click Participant,2018-12-04 17:04:32,2018-12-04 17:04:32,0.002s,PASSED
