Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SemiLeveragePlan,Chrome 70.0.3538.110,,2018-12-06 11:06:18,2018-12-06 11:09:04,2m - 46.469s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-06 11:06:18,2018-12-06 11:06:38,19.419s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-06 11:06:19,2018-12-06 11:06:23,4.698s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-06 11:06:23,2018-12-06 11:06:29,5.906s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-06 11:06:29,2018-12-06 11:06:31,1.225s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:06:31,2018-12-06 11:06:34,3.045s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-06 11:06:34,2018-12-06 11:06:34,0.388s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:06:34,2018-12-06 11:06:37,3.007s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-06 11:06:37,2018-12-06 11:06:37,0.356s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-06 11:06:37,2018-12-06 11:06:38,0.236s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plan,Chrome 70.0.3538.110,,2018-12-06 11:06:38,2018-12-06 11:06:59,21.371s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-06 11:06:38,2018-12-06 11:06:41,3.014s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-06 11:06:41,2018-12-06 11:06:42,1.230s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:06:42,2018-12-06 11:06:43,1.001s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-06 11:06:43,2018-12-06 11:06:44,0.425s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-06 11:06:44,2018-12-06 11:06:44,0.633s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,,2018-12-06 11:06:44,2018-12-06 11:06:57,12.410s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,,2018-12-06 11:06:57,2018-12-06 11:06:57,0.005s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,,2018-12-06 11:06:57,2018-12-06 11:06:57,0.000s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,,2018-12-06 11:06:57,2018-12-06 11:06:57,0.000s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-06 11:06:57,2018-12-06 11:06:57,0.008s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-06 11:06:57,2018-12-06 11:06:59,2.002s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-06 11:06:59,2018-12-06 11:06:59,0.198s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 70.0.3538.110,,2018-12-06 11:06:59,2018-12-06 11:07:11,11.623s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:06:59,2018-12-06 11:07:02,3.002s,PASSED
Statement - myobj1 = new com.kms.katalon.core.testobject.TestObject(Dynamic object),Chrome 70.0.3538.110,,2018-12-06 11:07:02,2018-12-06 11:07:02,0.000s,PASSED
Statement - plansearch1 = Plans,Chrome 70.0.3538.110,,2018-12-06 11:07:02,2018-12-06 11:07:02,0.005s,PASSED
"Statement - xpath = ""(//*[normalize-space(text()) and normalize-space(.)="""" + plansearch1 + """"])[2]/following::i[1]""",Chrome 70.0.3538.110,,2018-12-06 11:07:02,2018-12-06 11:07:02,0.000s,PASSED
"Statement - myobj1.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-06 11:07:02,2018-12-06 11:07:02,0.000s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-06 11:07:02,2018-12-06 11:07:04,2.005s,PASSED
click,Chrome 70.0.3538.110,Click the Plan Rep,2018-12-06 11:07:04,2018-12-06 11:07:05,0.330s,PASSED
switchToWindowIndex,Chrome 70.0.3538.110,Switch to other window index,2018-12-06 11:07:05,2018-12-06 11:07:05,0.050s,PASSED
waitForElementVisible,Chrome 70.0.3538.110,Waiting for the object to visible,2018-12-06 11:07:05,2018-12-06 11:07:10,5.746s,PASSED
click,Chrome 70.0.3538.110,Click on the text box,2018-12-06 11:07:10,2018-12-06 11:07:11,0.144s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_date,Chrome 70.0.3538.110,,2018-12-06 11:07:11,2018-12-06 11:07:58,47.412s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:07:11,2018-12-06 11:07:21,10.002s,PASSED
click,Chrome 70.0.3538.110,"Click on the Date Option
",2018-12-06 11:07:21,2018-12-06 11:07:21,0.399s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:07:21,2018-12-06 11:07:31,10.004s,PASSED
