Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SemiLeveragePlan,Chrome 70.0.3538.110,,2018-12-06 11:14:59,2018-12-06 11:17:07,2m - 8.433s,FAILED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_login,Chrome 70.0.3538.110,,2018-12-06 11:15:00,2018-12-06 11:15:20,20.058s,PASSED
openBrowser,Chrome 70.0.3538.110,Opening the Browser,2018-12-06 11:15:01,2018-12-06 11:15:06,5.055s,PASSED
navigateToUrl,Chrome 70.0.3538.110,"Navigating to Specified Url
",2018-12-06 11:15:06,2018-12-06 11:15:12,5.852s,PASSED
maximizeWindow,Chrome 70.0.3538.110,Maximizing the Browser window,2018-12-06 11:15:12,2018-12-06 11:15:13,1.175s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:15:13,2018-12-06 11:15:16,3.041s,PASSED
setText,Chrome 70.0.3538.110,Providing the Input value in the Username Text Box,2018-12-06 11:15:16,2018-12-06 11:15:17,0.327s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:15:17,2018-12-06 11:15:20,3.003s,PASSED
setText,Chrome 70.0.3538.110,Providing the Password of the User,2018-12-06 11:15:20,2018-12-06 11:15:20,0.354s,PASSED
click,Chrome 70.0.3538.110,Click the login button,2018-12-06 11:15:20,2018-12-06 11:15:20,0.209s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_Plan,Chrome 70.0.3538.110,,2018-12-06 11:15:20,2018-12-06 11:15:42,21.675s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 70.0.3538.110,,2018-12-06 11:15:21,2018-12-06 11:15:24,3.008s,PASSED
click,Chrome 70.0.3538.110,"Click the Dashbord option on the screen
",2018-12-06 11:15:24,2018-12-06 11:15:25,1.433s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:15:25,2018-12-06 11:15:26,1.002s,PASSED
click,Chrome 70.0.3538.110,Click on the Text box,2018-12-06 11:15:26,2018-12-06 11:15:26,0.338s,PASSED
setText,Chrome 70.0.3538.110,Providing the Plan Name in the Text Box,2018-12-06 11:15:26,2018-12-06 11:15:27,0.635s,PASSED
globalkeywords.record.RecordNotFound,Chrome 70.0.3538.110,,2018-12-06 11:15:27,2018-12-06 11:15:39,12.498s,PASSED
Statement - myobj = new com.kms.katalon.core.testobject.TestObject(Dynamic Boject),Chrome 70.0.3538.110,,2018-12-06 11:15:39,2018-12-06 11:15:39,0.008s,PASSED
Statement - plansearch = Plans,Chrome 70.0.3538.110,,2018-12-06 11:15:39,2018-12-06 11:15:39,0.001s,PASSED
"Statement - xpath = ""//span[normalize-space(text())="""" + plansearch + """"]""",Chrome 70.0.3538.110,,2018-12-06 11:15:39,2018-12-06 11:15:39,0.001s,PASSED
"Statement - myobj.addProperty(""xpath"", EQUALS, xpath)",Chrome 70.0.3538.110,,2018-12-06 11:15:39,2018-12-06 11:15:39,0.006s,PASSED
Statement - java.lang.Thread.sleep(2000),Chrome 70.0.3538.110,,2018-12-06 11:15:39,2018-12-06 11:15:41,2.001s,PASSED
click,Chrome 70.0.3538.110,Click the Plan,2018-12-06 11:15:41,2018-12-06 11:15:42,0.307s,PASSED
,,,,,,
Test Cases/Dashboard_Lenovo/Dashboard_Planfloder/Dashboard_PlanActions,Chrome 70.0.3538.110,,2018-12-06 11:15:42,2018-12-06 11:15:54,11.889s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 11:15:42,2018-12-06 11:15:45,3.004s,PASSED
